sal_code_2021,sal_name_2021,state_code_2021,state_name_2021,gccsa_code_2021,gccsa_name_2021
21202,Hopetoun Park,2,Victoria,2GMEL,Greater Melbourne
21203,Hoppers Crossing,2,Victoria,2GMEL,Greater Melbourne
21214,Hughesdale,2,Victoria,2GMEL,Greater Melbourne
21215,Humevale,2,Victoria,2GMEL,Greater Melbourne
21218,Huntingdale (Vic.),2,Victoria,2GMEL,Greater Melbourne
21223,Hurstbridge,2,Victoria,2GMEL,Greater Melbourne
21232,Ingliston,2,Victoria,2GMEL,Greater Melbourne
21238,Iona,2,Victoria,2GMEL,Greater Melbourne
21246,Ivanhoe (Vic.),2,Victoria,2GMEL,Greater Melbourne
21247,Ivanhoe East,2,Victoria,2GMEL,Greater Melbourne
21248,Jacana,2,Victoria,2GMEL,Greater Melbourne
21252,Jam Jerrup,2,Victoria,2GMEL,Greater Melbourne
21277,Junction Village,2,Victoria,2GMEL,Greater Melbourne
21284,Kalkallo,2,Victoria,2GMEL,Greater Melbourne
21286,Kallista,2,Victoria,2GMEL,Greater Melbourne
21287,Kalorama,2,Victoria,2GMEL,Greater Melbourne
21294,Kangaroo Ground,2,Victoria,2GMEL,Greater Melbourne
21312,Kealba,2,Victoria,2GMEL,Greater Melbourne
21314,Keilor,2,Victoria,2GMEL,Greater Melbourne
21315,Keilor Downs,2,Victoria,2GMEL,Greater Melbourne
21316,Keilor East,2,Victoria,2GMEL,Greater Melbourne
21317,Keilor Lodge,2,Victoria,2GMEL,Greater Melbourne
21318,Keilor North,2,Victoria,2GMEL,Greater Melbourne
21319,Keilor Park,2,Victoria,2GMEL,Greater Melbourne
21327,Kensington (Vic.),2,Victoria,2GMEL,Greater Melbourne
21333,Kerrie,2,Victoria,2GMEL,Greater Melbourne
21336,Kew (Vic.),2,Victoria,2GMEL,Greater Melbourne
21337,Kew East,2,Victoria,2GMEL,Greater Melbourne
21339,Keysborough,2,Victoria,2GMEL,Greater Melbourne
21352,Kilmore,2,Victoria,2GMEL,Greater Melbourne
21353,Kilmore East,2,Victoria,2GMEL,Greater Melbourne
21354,Kilsyth,2,Victoria,2GMEL,Greater Melbourne
21355,Kilsyth South,2,Victoria,2GMEL,Greater Melbourne
21358,Kinglake,2,Victoria,2GMEL,Greater Melbourne
21359,Kinglake Central,2,Victoria,2GMEL,Greater Melbourne
21360,Kinglake West,2,Victoria,2GMEL,Greater Melbourne
21362,Kings Park (Vic.),2,Victoria,2GMEL,Greater Melbourne
21363,Kingsbury,2,Victoria,2GMEL,Greater Melbourne
21365,Kingsville,2,Victoria,2GMEL,Greater Melbourne
21374,Knoxfield,2,Victoria,2GMEL,Greater Melbourne
21380,Koo Wee Rup,2,Victoria,2GMEL,Greater Melbourne
21381,Koo Wee Rup North,2,Victoria,2GMEL,Greater Melbourne
21393,Kooyong,2,Victoria,2GMEL,Greater Melbourne
21411,Kurunjang,2,Victoria,2GMEL,Greater Melbourne
